
,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,CAR,Cam Newton,QB,22,2014,0,2,4,59,59,62,1144,1923,14426,82,54,467,2571,33,1,33,0,6,,,Auburn,College Stats
1,2,DEN,Von Miller,LB,22,2014,1,3,4,43,43,56,,,,,,,,,,,,180,1,49.0,Texas A&amp;M,College Stats
1,3,BUF,Marcell Dareus,DT,21,2014,1,2,4,38,38,63,,,,,,,,,,,,139,,28.5,Alabama,College Stats
1,4,CIN,A.J. Green,WR,23,2014,0,4,4,43,43,60,,,,,,11,93,0,329,4874,35,8,,,Georgia,College Stats
1,5,ARI,Patrick Peterson,DB,21,2014,2,4,4,53,53,64,1,1,17,0,0,7,34,0,10,64,0,199,15,2.0,LSU,College Stats
1,6,ATL,Julio Jones,WR,22,2014,0,2,3,40,40,49,,,,,,14,94,0,278,4330,26,6,,,Alabama,College Stats
1,7,SFO,Aldon Smith,DE,22,2014,1,1,1,25,25,50,,,,,,,,,,,,120,1,44.0,Missouri,College Stats
1,8,TEN,Jake Locker,QB,23,2014,0,0,1,15,15,30,408,709,4967,27,22,95,644,5,,,,2,,,Washington,College Stats
1,9,DAL,Tyron Smith,T,20,2014,1,2,4,42,42,63,,,,,,,,,,,,3,,,USC,College Stats
1,10,JAX,Blaine Gabbert,QB,21,2014,0,0,2,8,8,29,417,784,4395,23,24,76,191,0,,,,1,,,Missouri,College Stats
1,11,HOU,J.J. Watt,DE,22,2014,3,3,4,64,64,64,,,,,,,,,3,4,3,241,1,57.0,Wisconsin,College Stats
1,12,MIN,Christian Ponder,QB,23,2014,0,0,3,22,22,38,632,1057,6658,38,36,126,639,7,1,-15,0,5,,,Florida St.,College Stats
1,13,DET,Nick Fairley,DT,23,2014,0,0,1,16,16,46,,,,,,,,,,,,66,,13.5,Auburn,College Stats
1,14,STL,Robert Quinn,DE,21,2014,1,2,3,35,35,63,,,,,,,,,,,,133,,45.0,North Carolina,College Stats
1,15,MIA,Mike Pouncey,G,22,2014,0,2,4,30,30,58,,,,,,,,,,,,4,,,Florida,College Stats
1,16,WAS,Ryan Kerrigan,DE,23,2014,0,1,4,29,29,64,,,,,,,,,,,,181,2,38.0,Purdue,College Stats
1,17,NWE,Nate Solder,T,23,2014,0,0,3,28,28,63,,,,,,,,,,,,5,,,Colorado,
1,18,SDG,Corey Liuget,DT,21,2014,0,0,4,27,27,63,,,,,,,,,,,,127,,18.0,Illinois,
1,19,NYG,Prince Amukamara,DB,22,2014,0,0,2,13,13,44,,,,,,,,,,,,170,6,,Nebraska,College Stats
1,20,TAM,Adrian Clayborn,DE,23,2014,0,0,2,13,13,36,,,,,,,,,,,,74,,13.0,Iowa,College Stats
1,21,CLE,Phil Taylor,DT,23,2014,0,0,2,19,19,44,,,,,,,,,,,,69,,7.0,Baylor,College Stats
1,22,IND,Anthony Castonzo,T,23,2014,0,0,4,29,29,60,,,,,,,,,1,1,1,3,,,Boston Col.,
