
,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,IND,Andrew Luck,QB,23,2014,0,3,3,42,42,48,1062,1813,12957,86,43,189,905,12,,,,6,,,Stanford,College Stats
1,2,WAS,Robert Griffin,QB,22,2014,0,1,2,32,32,37,679,1063,8097,40,23,244,1480,8,,,,2,,,Baylor,College Stats
1,3,CLE,Trent Richardson,RB,22,2014,0,0,2,17,7,46,,,,,,614,2032,17,113,912,2,1,,,Alabama,College Stats
1,4,MIN,Matt Kalil,T,23,2014,0,1,3,24,24,48,,,,,,,,,,,,1,,,USC,College Stats
1,5,JAX,Justin Blackmon,WR,22,2014,0,0,1,9,9,20,,,,,,3,22,0,93,1280,6,1,,,Oklahoma St.,College Stats
1,6,DAL,Morris Claiborne,DB,22,2014,0,0,1,9,9,29,,,,,,,,,,,,72,3,,LSU,College Stats
1,7,TAM,Mark Barron,DB,22,2014,0,0,2,13,12,46,,,,,,,,,,,,198,3,5.0,Alabama,College Stats
1,8,MIA,Ryan Tannehill,QB,24,2014,0,0,3,32,32,48,1029,1662,11252,63,42,145,760,4,1,-4,0,5,,,Texas A&amp;M,College Stats
1,9,CAR,Luke Kuechly,LB,21,2014,2,2,3,40,40,48,,,,,,,,,,,,306,7,6.0,Boston Col.,College Stats
1,10,BUF,Stephon Gilmore,DB,22,2014,0,0,3,14,14,41,,,,,,,,,,,,119,6,,South Carolina,College Stats
1,11,KAN,Dontari Poe,DT,22,2014,0,2,3,29,29,47,,,,,,,,,,,,109,,10.5,Memphis,College Stats
1,12,PHI,Fletcher Cox,DT,21,2014,0,0,3,24,24,47,,,,,,,,,,,,112,,12.5,Mississippi St.,College Stats
1,13,ARI,Michael Floyd,WR,22,2014,0,0,2,16,16,48,,,,,,1,2,0,157,2444,13,2,,,Notre Dame,College Stats
1,14,STL,Michael Brockers,DT,21,2014,0,0,3,20,20,45,,,,,,,,,,,,82,,11.5,LSU,College Stats
1,15,SEA,Bruce Irvin,DE,24,2014,0,0,2,17,17,43,,,,,,,,,,,,74,3,16.5,West Virginia,College Stats
1,16,NYJ,Quinton Coples,DE,22,2014,0,0,2,17,17,46,,,,,,,,,,,,71,,16.5,North Carolina,College Stats
1,17,CIN,Dre Kirkpatrick,DB,22,2014,0,0,0,7,7,35,,,,,,,,,,,,50,6,1.0,Alabama,College Stats
1,18,SDG,Melvin Ingram,DE,23,2014,0,0,1,7,7,29,,,,,,,,,,,,44,,6.0,South Carolina,College Stats
1,19,CHI,Shea McClellin,DE,22,2014,0,0,1,9,9,40,,,,,,,,,,,,45,,7.5,Boise St.,College Stats
1,20,TEN,Kendall Wright,WR,22,2014,0,0,2,18,18,45,,,,,,5,58,0,215,2420,12,4,,,Baylor,College Stats
1,21,NWE,Chandler Jones,DE,22,2014,0,0,2,21,21,40,,,,,,,,,,,,103,,23.5,Syracuse,College Stats
