
,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
2,38,SDG,Manti Te'o,LB,22,2014,0,0,1,8,8,23,,,,,,,,,,,,87,1,1.0,Notre Dame,College Stats
2,39,NYJ,Geno Smith,QB,22,2014,0,0,2,13,13,30,466,810,5571,25,34,131,604,7,1,13,0,2,,,West Virginia,College Stats
2,40,SFO,Tank Carradine,DE,24,2014,0,0,0,1,1,9,,,,,,,,,,,,16,,3.0,Florida St.,College Stats
2,41,BUF,Robert Woods,WR,21,2014,0,0,2,9,9,30,,,,,,2,16,0,105,1286,8,5,,,USC,College Stats
2,42,OAK,Menelik Watson,T,24,2014,0,0,0,4,4,17,,,,,,,,,,,,,,,Florida St.,
2,43,TAM,Johnthan Banks,DB,23,2014,0,0,2,11,11,31,,,,,,,,,,,,90,7,,Mississippi St.,College Stats
2,44,CAR,Kawann Short,DT,24,2014,0,0,0,7,7,32,,,,,,,,,,,,41,,5.0,Purdue,College Stats
2,45,ARI,Kevin Minter,LB,22,2014,0,0,0,5,5,29,,,,,,,,,,,,44,,1.0,LSU,College Stats
2,46,BUF,Kiko Alonso,LB,23,2014,0,0,1,9,9,16,,,,,,,,,,,,87,4,2.0,Oregon,College Stats
2,47,DAL,Gavin Escobar,TE,22,2014,0,0,0,2,2,32,,,,,,,,,18,239,6,2,,,San Diego St.,College Stats
2,48,PIT,Le'Veon Bell,RB,21,2014,1,1,2,25,25,29,,,,,,534,2221,16,128,1253,3,3,,,Michigan St.,College Stats
2,49,NYG,Johnathan Hankins,DT,21,2014,0,0,1,8,8,27,,,,,,,,,,,,39,,7.0,Ohio St.,College Stats
2,50,CHI,Jonathan Bostic,LB,22,2014,0,0,1,7,7,29,,,,,,,,,,,,103,1,2.0,Florida,College Stats
2,51,WAS,David Amerson,DB,21,2014,0,0,1,9,9,31,,,,,,,,,,,,92,2,,North Carolina St.,College Stats
2,52,NWE,Jamie Collins,LB,23,2014,0,0,1,14,14,31,,,,,,,,,,,,124,2,4.0,Southern Miss,College Stats
2,53,CIN,Margus Hunt,DE,26,2014,0,0,0,2,2,22,,,,,,,,,,,,6,,1.5,SMU,College Stats
2,54,MIA,Jamar Taylor,DB,23,2014,0,0,0,2,2,21,,,,,,,,,,,,34,,,Boise St.,College Stats
2,55,SFO,Vance McDonald,TE,23,2014,0,0,0,1,1,23,,,,,,,,,10,149,0,2,,,Rice,College Stats
2,56,BAL,Arthur Brown,LB,23,2014,0,0,0,1,1,18,,,,,,,,,,,,11,,0.5,Kansas St.,College Stats
